Measurement outcome,Frequency
00011101110000,1
00011101110001,1
00011101110101,1
00011101110110,1
00011101111110,1
00011110000000,8
00011110000001,1
00011110000010,1
00011110000100,2
00011110000101,1
00011110001100,1
00011110010000,1
00011110100000,1
00011110100100,3
00011110100101,1
00011110110000,1
00011110110001,1
00011110110100,1
00011110110110,1
00011110111000,2
00011110111101,1
00011111000000,2
00011111000010,2
00011111000100,1
00011111000101,1
00011111001100,1
00011111010000,1
00011111011110,1
00011111100000,7
00011111100110,1
00011111101000,1
00011111101010,1
00011111101100,1
00011111110000,1
00011111110100,1
00011111110110,1
00100000000000,18
00100000000001,7
00100000000010,9
00100000000011,4
00100000000100,6
00100000000101,1
00100000000110,4
00100000000111,1
00100000001000,1
00100000001010,1
00100000001011,1
00100000001100,4
00100000001101,1
00100000001110,1
00100000001111,1
00100000010000,6
00100000010001,1
00100000010010,3
00100000010110,2
00100000011100,1
00100000011110,1
00100000100000,10
00100000100001,1
00100000100010,4
00100000100011,1
00100000100100,2
00100000100110,2
00100000101000,3
00100000101100,3
00100000101110,1
00100000101111,2
00100000110000,2
00100000110110,1
00100000110111,1
00100000111000,4
00100000111100,2
00100000111110,4
00100000111111,1
00100001000000,11
00100001000001,4
00100001000010,5
00100001000100,2
00100001000110,1
00100001001000,2
00100001001100,3
00100001010000,3
00100001010001,2
00100001010100,3
00100001010110,2
00100001011000,1
00100001011011,1
00100001011100,1
00100001100000,7
00100001100001,1
00100001100010,1
00100001100100,4
00100001100101,1
00100001100110,1
00100001101000,2
00100001101100,1
00100001110000,1
00100001110001,2
00100001110011,1
00100001111010,2
00100001111110,1
00100010000000,10
00100010000001,3
00100010000010,3
00100010000100,6
00100010000101,1
00100010000110,3
00100010001100,1
00100010010000,3
00100010010001,1
00100010010010,1
00100010011000,1
00100010011100,2
00100010100000,4
00100010100001,1
00100010100010,2
00100010100100,2
00100010100110,1
00100010101000,1
00100010101110,2
00100010110000,4
00100010110001,1
00100010110010,1
00100010110110,1
00100010111000,1
00100010111010,1
00100010111101,1
00100010111110,1
00100010111111,1
00100011000000,2
00100011000001,3
00100011000010,2
00100011000011,1
00100011000100,4
00100011000101,2
00100011000110,1
00100011001000,2
00100011001010,1
00100011001100,2
00100011001101,2
00100011001110,1
00100011010000,1
00100011010001,1
00100011010010,2
00100011010110,1
00100011011000,2
00100011011010,1
00100011100000,6
00100011100001,1
00100011100100,3
00100011100101,1
00100011100110,2
00100011100111,1
00100011101000,1
00100011101010,3
00100011101100,2
00100011101101,1
00100011101110,1
00100011110000,4
00100011110001,1
00100011110010,2
00100011111100,2
00100100000000,27
00100100000001,5
00100100000010,5
00100100000011,3
00100100000100,3
00100100000110,3
00100100000111,1
00100100001000,2
00100100001010,1
00100100001011,1
00100100001100,3
00100100001101,1
00100100010000,7
00100100010001,1
00100100010010,2
00100100010100,1
00100100010101,1
00100100010111,2
00100100011000,1
00100100011001,1
00100100011010,1
00100100011100,1
00100100011110,1
00100100100000,13
00100100100001,2
00100100100010,3
00100100100011,1
00100100100100,6
00100100100101,3
00100100100110,2
00100100100111,1
00100100101000,1
00100100101001,1
00100100101010,1
00100100101011,1
00100100101100,1
00100100101111,1
00100100110000,6
00100100110001,2
00100100110010,3
00100100110100,2
00100100110101,1
00100100111000,1
00100100111100,1
00100100111110,1
00100101000000,10
00100101000001,2
00100101000010,2
00100101000011,1
00100101000100,6
00100101000101,1
00100101000110,3
00100101001000,1
00100101001100,1
00100101010000,1
00100101010010,2
00100101010100,1
00100101010110,2
00100101010111,1
00100101100000,5
00100101100001,1
00100101100010,1
00100101100100,2
00100101100101,2
00100101100110,3
00100101101010,1
00100101101100,2
00100101101111,1
00100101110001,2
00100101110010,1
00100101110100,1
00100101110110,2
00100101111000,1
00100101111001,1
00100101111100,1
00100110000000,3
00100110000001,1
00100110000010,3
00100110000011,2
00100110000100,6
00100110000101,1
00100110000110,4
00100110000111,1
00100110001000,4
00100110001100,2
00100110001101,1
00100110001111,1
00100110010000,3
00100110010001,2
00100110010111,1
00100110011010,1
00100110100001,1
00100110100010,3
00100110100011,1
00100110100111,1
00100110101000,3
00100110101010,1
00100110101100,1
00100110101110,1
00100110110000,1
00100110110010,1
00100110110100,1
00100110111001,1
00100110111110,1
00100111000000,4
00100111000001,1
00100111000010,3
00100111000011,1
00100111000100,3
00100111000110,1
00100111001000,1
00100111001100,1
00100111001110,2
00100111010000,2
00100111010001,1
00100111010100,4
00100111100000,3
00100111100001,1
00100111100010,2
00100111100100,3
00100111100110,3
00100111101000,1
00100111101001,1
00100111110000,2
00100111110010,1
00100111111110,1
00101000000000,6
00101000000001,1
00101000000010,2
00101000000011,2
00101000000100,5
00101000000101,1
00101000000110,1
00101000001000,1
00101000010010,1
00101000010100,2
00101000011110,1
00101000100000,7
00101000100010,3
00101000100100,1
00101000100110,1
00101000101010,1
00101000110011,1
00101000110100,1
00101000111100,1
00101000111110,2
00101001000000,4
00101001000001,1
00101001000010,2
00101001000011,1
00101001001011,1
00101001001110,3
00101001010000,3
00101001010110,2
00101001011000,1
00101001011100,1
00101001100000,1
00101001100100,1
00101001100110,1
00101001101000,2
00101001101101,1
00101001110000,1
00101001110100,1
00101001111000,1
00101001111101,1
00101010000000,3
00101010000001,2
00101010000010,1
00101010000100,3
00101010000101,1
00101010000110,3
00101010000111,1
00101010001000,1
00101010001100,1
00101010010100,1
00101010100000,3
00101010100001,1
00101010101110,1
00101010110000,1
00101010110100,1
00101010110110,1
00101010111100,2
00101010111110,1
00101011000000,3
00101011000001,2
00101011000010,2
00101011000101,1
00101011000110,1
00101011001000,3
00101011001010,1
00101011010000,1
00101011010010,2
00101011100111,1
00101011101000,1
00101011101100,1
00101011101101,1
00101011101110,1
00101011110000,2
00101011110010,2
00101011110100,1
00101011110110,1
00101100000000,13
00101100000001,3
00101100000010,2
00101100000011,1
00101100000100,3
00101100000101,1
00101100000110,3
00101100001000,3
00101100001010,1
00101100001100,3
00101100001101,1
00101100001110,2
00101100010000,2
00101100010011,1
00101100011010,1
00101100011100,1
00101100011110,1
00101100011111,1
00101100100000,8
00101100100001,2
00101100100010,4
00101100100100,1
00101100100110,2
00101100100111,1
00101100101000,2
00101100101010,1
00101100101100,2
00101100110001,1
00101100110010,2
00101100110110,1
00101101000000,1
00101101000001,1
00101101000010,1
00101101000011,1
00101101000110,1
00101101001000,1
00101101001010,1
00101101001100,1
00101101001110,1
00101101010010,1
00101101011110,1
00101101100000,3
00101101100001,3
00101101100010,1
00101101100100,2
00101101100110,1
00101101101000,1
00101101101101,1
00101101101110,1
00101101101111,1
00101101110000,1
00101101110010,1
00101101110110,1
00101101111000,1
00101110000000,4
00101110000001,1
00101110000010,2
00101110000100,2
00101110000110,4
00101110001010,2
00101110001110,2
00101110001111,1
00101110010000,1
00101110010110,1
00101110100000,5
00101110100001,1
00101110100010,2
00101110100100,1
00101110100101,1
00101110101000,1
00101110101100,2
00101110110000,2
00101110110001,1
00101110110011,1
00101110110100,1
00101111000000,1
00101111000001,1
00101111000110,4
00101111001010,1
00101111001011,1
00101111010010,2
00101111100000,4
00101111100001,1
00101111100010,1
00101111100100,2
00101111100110,1
00101111101000,1
00101111101001,1
00101111101010,2
00101111101110,1
00101111110000,2
00101111110010,2
00101111110101,1
00110000000000,11
00110000000001,5
00110000000010,5
00110000000011,1
00110000000100,4
00110000000101,1
00110000000110,5
00110000001000,2
00110000001001,1
00110000001110,3
00110000010000,4
00110000010001,1
00110000010010,1
00110000010110,2
00110000011001,1
00110000011011,1
00110000011100,1
00110000100000,9
00110000100001,1
00110000100010,3
00110000100100,2
00110000100110,1
00110000100111,1
00110000101000,2
00110000101010,1
00110000101011,1
00110000101100,1
00110000101111,1
00110000110000,2
00110000110001,1
00110000110010,1
00110000110110,1
00110000111000,2
00110000111100,1
00110001000000,4
00110001000001,2
00110001000010,3
00110001000100,2
00110001000110,1
00110001001000,1
00110001001010,1
00110001001100,1
00110001010000,4
00110001010101,1
00110001011000,1
00110001100000,4
00110001100010,3
00110001100100,3
00110001100101,3
00110001100110,1
00110001101010,1
00110001101100,1
00110001101110,1
00110001110000,3
00110001110010,2
00110010000000,2
00110010000001,5
00110010000010,4
00110010000100,1
00110010000110,4
00110010001000,2
00110010001010,1
00110010001110,2
00110010010000,3
00110010010100,1
00110010010110,4
00110010011000,1
00110010011011,1
00110010100000,6
00110010100010,2
00110010100011,1
00110010100111,1
00110010101010,1
00110010110000,3
00110010110001,1
00110010110100,1
00110010110101,1
00110010111100,1
00110011000000,5
00110011000001,1
00110011000010,2
00110011000100,1
00110011001000,1
00110011001010,1
00110011001100,1
00110011001110,1
00110011010000,3
00110011010100,1
00110011010110,2
00110011011000,1
00110011011010,1
00110011100000,6
00110011100001,3
00110011100010,3
00110011100011,1
00110011100100,1
00110011101000,2
00110011101010,2
00110011101011,1
00110011101110,1
00110011110000,4
00110011110100,1
00110011110111,2
00110011111010,2
00110011111100,2
00110100000000,15
00110100000001,5
00110100000010,2
00110100000100,8
00110100001000,1
00110100001001,1
00110100001010,3
00110100001101,1
00110100001110,2
00110100010000,3
00110100010111,1
00110100011000,1
00110100011010,1
00110100011100,1
00110100011110,1
00110100100000,10
00110100100001,4
00110100100010,3
00110100100100,2
00110100100101,1
00110100100110,2
00110100100111,3
00110100101010,1
00110100101100,2
00110100101101,1
00110100101111,2
00110100110000,2
00110100110010,1
00110100110110,1
00110100111000,1
00110100111101,1
00110100111110,3
00110101000000,9
00110101000001,2
00110101000011,1
00110101000110,1
00110101001010,3
00110101001100,1
00110101001110,3
00110101010000,4
00110101010100,1
00110101100000,3
00110101100001,1
00110101100010,2
00110101100100,2
00110101100101,1
00110101100110,1
00110101101001,1
00110101110000,1
00110101110010,1
00110101110011,1
00110101110100,1
00110101110111,1
00110110000000,6
00110110000001,2
00110110000010,2
00110110000011,1
00110110000100,4
00110110000101,1
00110110000111,2
00110110001000,2
00110110001011,1
00110110001100,2
00110110011100,2
00110110100000,8
00110110100001,1
00110110100100,2
00110110101010,2
00110110101100,1
00110110110000,2
00110110110010,1
00110110110100,2
00110110110101,1
00110110110110,2
00110110111000,1
00110110111010,1
00110111000000,3
00110111001010,1
00110111010000,3
00110111010100,1
00110111100010,2
00110111100100,2
00110111100101,1
00110111100110,2
00110111101100,2
00110111110000,1
00110111110100,1
00110111110101,1
00110111111010,1
00110111111100,1
00111000000000,7
00111000000001,1
00111000000010,1
00111000000011,1
00111000000100,4
00111000000110,1
00111000001000,4
00111000001100,3
00111000001101,1
00111000001111,2
00111000010000,1
00111000010010,2
00111000010100,2
00111000010110,2
00111000100000,6
00111000100001,1
00111000100010,2
00111000100110,2
00111000101100,2
00111000101110,1
00111000110000,2
00111000110001,1
00111000110010,2
00111000110100,1
00111000111000,1
00111000111110,1
00111000111111,1
00111001000000,1
00111001000001,1
00111001000100,1
00111001000110,1
00111001000111,1
00111001001010,1
00111001001110,1
00111001001111,1
00111001010000,2
00111001011001,1
00111001100000,2
00111001100010,3
00111001100110,1
00111001110010,1
00111001110100,2
00111001111010,1
00111010000000,3
00111010000010,3
00111010000100,1
00111010000101,1
00111010001000,2
00111010001100,1
00111010001110,2
00111010010000,1
00111010011010,1
00111010011101,2
00111010100000,5
00111010100011,1
00111010100110,1
00111010101000,2
00111010101100,1
00111010110000,3
00111010110001,1
00111010111000,1
00111011000000,4
00111011000001,1
00111011000010,2
00111011000110,2
00111011001110,1
00111011010001,1
00111011010010,2
00111011010011,1
00111011010100,1
00111011011001,1
00111011011010,1
00111011100000,4
00111011100001,1
00111011100110,2
00111011101100,1
00111011101110,1
00111011111000,1
00111011111010,1
00111011111100,1
00111100000000,18
00111100000001,5
00111100000010,2
00111100000011,3
00111100000100,2
00111100000101,1
00111100000110,2
00111100001000,3
00111100001001,1
00111100001100,1
00111100010000,5
00111100011000,1
00111100100000,8
00111100100001,2
00111100100010,5
00111100100011,2
00111100100100,1
00111100100101,1
00111100100110,1
00111100101000,2
00111100101010,1
00111100101111,1
00111100110000,3
00111100110001,1
00111100110010,1
00111100110011,1
00111100110100,1
00111100111000,1
00111100111010,2
00111100111100,1
00111101000000,6
00111101000001,1
00111101000010,2
00111101000110,1
00111101000111,1
00111101001000,1
00111101001101,1
00111101001110,1
00111101010000,3
00111101010010,1
00111101010110,2
00111101100000,5
00111101100010,1
00111101100011,1
00111101101110,1
00111101110100,1
00111101111000,1
00111101111001,1
00111101111010,1
00111101111100,1
00111110000000,4
00111110000010,6
00111110000100,1
00111110000101,1
00111110001010,1
00111110001011,1
00111110001100,2
00111110001110,1
00111110010000,1
00111110010110,2
00111110011010,1
00111110011100,1
00111110100000,7
00111110100001,1
00111110100010,1
00111110100101,1
00111110100110,1
00111110101000,1
00111110110000,4
